State,Demography value,Metric,Jan-2015,Feb-2015,Mar-2015,Apr-2015,May-2015,Jun-2015,Jul-2015,Aug-2015,Sep-2015,Oct-2015,Nov-2015,Dec-2015,Jan-2016,Feb-2016,Mar-2016,Apr-2016,May-2016,Jun-2016,Jul-2016,Aug-2016,Sep-2016,Oct-2016,Nov-2016,Dec-2016,Jan-2017,Feb-2017,Mar-2017,Apr-2017,May-2017,Jun-2017,Jul-2017,Aug-2017,Sep-2017,Oct-2017,Nov-2017,Dec-2017,Jan-2018,Feb-2018,Mar-2018,Apr-2018,May-2018,Jun-2018,Jul-2018,Aug-2018,Sep-2018,Oct-2018,Nov-2018,Dec-2018,Jan-2019,Feb-2019,Mar-2019,Apr-2019,May-2019,Jun-2019,Jul-2019,Aug-2019,Sep-2019,Oct-2019,Nov-2019,Dec-2019,Jan-2020,Feb-2020,Mar-2020,Apr-2020,May-2020,Jun-2020,Jul-2020,Aug-2020,Sep-2020,Oct-2020,Nov-2020,Dec-2020,Jan-2021,Feb-2021,Mar-2021,Apr-2021,May-2021,Jun-2021,Jul-2021,Aug-2021,Sep-2021,Oct-2021,Nov-2021,Dec-2021,Jan-2022,Feb-2022,Mar-2022,Apr-2022,May-2022,Jun-2022,Jul-2022,Aug-2022,Sep-2022,Oct-2022,Nov-2022,Dec-2022,Jan-2023,Feb-2023,Mar-2023,Apr-2023,May-2023,Jun-2023,Jul-2023,Aug-2023,Sep-2023,Oct-2023,Nov-2023,Dec-2023,Jan-2024,Feb-2024,Mar-2024,Apr-2024,May-2024,Jun-2024,Jul-2024,Aug-2024,Sep-2024,Oct-2024,Nov-2024,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025
WA,16-64,Bulk-billing rate,67.62%,68.63%,69.45%,71.17%,71.05%,70.55%,70.01%,70.35%,70.85%,71.26%,71.82%,72.27%,71.95%,72.56%,73.54%,74.81%,74.84%,74.51%,74.17%,74.16%,74.44%,74.62%,74.80%,74.63%,74.52%,75.28%,75.95%,77.07%,77.12%,76.88%,76.92%,77.20%,77.35%,77.36%,77.54%,77.60%,77.21%,77.99%,78.69%,78.97%,80.00%,79.54%,79.19%,79.23%,79.64%,79.33%,79.43%,79.39%,79.33%,79.53%,79.98%,80.40%,81.54%,80.99%,79.69%,79.61%,79.96%,79.57%,79.39%,79.39%,78.91%,79.41%,82.43%,91.25%,87.96%,85.58%,84.44%,83.79%,83.35%,81.84%,81.68%,81.30%,81.17%,82.65%,81.35%,82.48%,82.71%,82.57%,82.52%,83.32%,83.40%,82.98%,81.57%,80.54%,81.32%,81.63%,79.96%,78.76%,78.77%,77.21%,75.13%,73.26%,71.40%,68.63%,68.14%,66.57%,63.88%,63.18%,62.04%,61.29%,62.95%,60.83%,58.50%,58.11%,57.57%,55.56%,56.72%,56.86%,55.84%,56.82%,56.67%,56.59%,59.02%,57.54%,56.13%,56.20%,56.03%,56.02%,56.28%,56.18%,54.97%,55.80%,55.91%,56.85%,58.90%,58.00%
WA,16-64,Bulk-billed services,"368,212","393,900","434,193","411,374","452,300","445,297","455,759","458,691","448,973","462,981","446,660","405,149","402,632","466,210","470,980","483,866","533,353","489,340","473,651","550,179","503,243","504,908","515,653","434,797","459,937","486,742","546,728","452,554","593,589","530,911","516,878","588,825","531,373","573,422","562,826","465,047","529,572","543,470","566,232","534,379","652,243","558,246","581,561","624,742","542,277","628,232","593,876","484,672","556,560","562,656","591,834","550,974","695,507","609,305","624,557","625,299","574,232","638,319","588,111","512,179","559,255","578,578","655,712","692,872","710,047","696,533","707,424","685,825","662,140","674,434","651,552","586,712","578,557","606,423","684,638","607,000","724,673","713,232","717,870","843,664","814,894","835,389","799,985","645,795","700,588","733,063","693,736","527,661","647,366","599,692","561,511","609,402","515,444","518,032","521,776","417,156","418,246","444,569","475,229","371,070","531,320","441,247","409,530","453,603","391,218","405,347","405,974","331,376","370,543","402,719","375,544","383,982","469,382","372,166","416,770","421,491","379,010","432,444","398,467","342,096","371,442","391,730","404,092","374,777","471,105","409,691"
WA,65+,Bulk-billing rate,89.64%,89.64%,89.85%,91.41%,90.36%,90.12%,89.85%,89.68%,89.94%,89.75%,89.78%,89.92%,89.88%,89.73%,90.24%,91.63%,90.62%,90.56%,90.25%,90.25%,90.32%,90.02%,90.27%,90.31%,90.44%,90.45%,90.60%,91.43%,91.42%,90.87%,90.61%,90.63%,90.82%,90.57%,90.68%,90.73%,90.71%,90.83%,91.04%,91.25%,92.25%,91.46%,91.18%,91.32%,91.42%,91.11%,91.02%,90.99%,91.36%,91.12%,91.28%,91.47%,92.73%,91.53%,91.12%,91.10%,91.15%,91.00%,90.81%,90.72%,90.81%,90.00%,92.04%,96.80%,94.70%,93.55%,93.27%,93.10%,92.75%,91.98%,91.73%,91.73%,91.69%,92.15%,91.87%,93.75%,93.56%,93.10%,93.26%,93.04%,92.48%,91.65%,91.28%,91.69%,92.63%,91.75%,91.22%,92.61%,92.94%,91.71%,90.55%,89.63%,88.79%,88.00%,87.77%,87.49%,86.42%,86.26%,86.73%,88.06%,87.75%,86.14%,85.21%,85.05%,84.81%,83.79%,86.23%,86.68%,86.47%,86.72%,86.60%,87.74%,87.95%,87.36%,86.79%,86.77%,86.81%,86.52%,86.43%,86.41%,86.37%,86.44%,86.60%,88.08%,88.24%,87.56%
WA,65+,Bulk-billed services,"221,730","231,037","252,645","290,903","264,007","247,327","252,545","241,054","245,311","257,904","249,231","238,183","229,467","257,650","261,129","312,758","299,578","262,138","247,329","282,652","261,479","270,896","290,912","250,843","261,472","269,858","297,092","268,992","360,388","282,961","265,465","295,986","270,147","302,466","304,046","256,380","294,004","288,393","295,713","292,311","405,437","292,185","297,902","312,291","272,643","328,836","316,762","264,814","305,552","299,628","306,628","301,305","433,114","295,487","316,389","314,901","295,167","341,233","315,978","283,753","313,648","309,920","356,977","462,247","355,831","352,686","364,212","341,446","342,746","357,068","346,657","330,993","314,860","334,369","396,476","441,326","488,022","434,999","443,091","453,505","409,735","385,226","393,446","367,204","415,843","387,892","389,477","384,234","494,216","399,402","358,509","378,445","333,966","351,216","366,820","317,663","322,057","338,857","382,449","362,281","451,842","349,968","326,446","356,950","316,663","344,670","377,429","322,783","362,679","373,247","346,693","396,613","439,813","343,639","381,924","369,050","339,819","393,300","363,965","329,764","358,736","365,909","374,260","392,563","446,213","376,588"
SA,0-15,Bulk-billing rate,92.49%,92.64%,92.82%,93.22%,93.18%,93.31%,92.95%,92.91%,93.06%,92.86%,93.16%,92.91%,92.97%,93.34%,93.35%,93.91%,93.64%,93.75%,93.67%,93.45%,93.41%,93.41%,93.42%,93.09%,92.91%,93.68%,93.40%,93.91%,93.87%,94.02%,93.76%,94.00%,94.00%,93.82%,93.80%,93.60%,93.51%,93.77%,94.15%,94.14%,94.82%,94.60%,94.31%,94.05%,94.10%,94.45%,94.36%,93.93%,94.03%,94.16%,94.15%,94.41%,95.70%,95.04%,94.50%,93.71%,93.91%,93.62%,93.55%,93.06%,93.17%,92.99%,94.29%,97.99%,97.15%,96.12%,95.36%,95.34%,94.93%,94.29%,94.62%,94.39%,94.30%,94.42%,94.00%,94.58%,94.74%,94.65%,94.59%,94.08%,94.49%,94.90%,94.84%,94.91%,95.83%,94.50%,94.80%,94.25%,94.07%,94.07%,92.64%,91.30%,90.81%,89.66%,89.35%,88.58%,87.74%,88.24%,88.05%,88.15%,88.29%,88.02%,87.30%,87.02%,86.97%,86.82%,90.25%,90.11%,90.57%,90.54%,90.22%,91.43%,91.67%,91.20%,91.28%,90.80%,91.03%,90.97%,91.13%,90.78%,90.92%,90.84%,90.95%,91.90%,91.75%,91.60%
SA,0-15,Bulk-billed services,"68,943","83,134","88,331","83,954","106,224","118,572","111,246","129,999","113,475","92,849","94,026","77,638","73,796","91,941","94,155","97,826","108,934","116,915","106,486","126,516","114,969","99,973","109,809","81,540","76,740","91,559","101,046","92,033","120,230","125,638","116,553","137,229","127,411","103,112","104,143","76,825","77,915","87,785","93,786","92,239","127,893","119,111","109,904","115,490","103,662","105,501","102,046","76,898","80,765","92,014","95,104","101,642","168,272","136,109","119,446","118,056","108,057","95,205","93,968","73,580","74,463","90,210","95,154","114,042","114,793","99,133","88,612","97,875","88,214","86,503","90,290","66,362","67,802","82,509","87,878","81,787","108,596","105,192","91,703","92,559","96,849","99,289","101,189","70,382","85,973","72,593","91,815","69,131","99,366","108,572","89,410","104,727","96,231","81,158","86,320","63,016","60,563","69,055","78,445","68,578","96,592","94,542","87,573","96,715","86,157","75,452","80,850","58,820","63,630","71,448","69,308","76,748","96,373","89,112","100,362","100,804","90,277","82,475","81,637","61,378","63,714","71,248","73,648","74,085","91,193","86,448"
SA,16-64,Bulk-billing rate,76.24%,76.34%,76.99%,78.31%,77.92%,77.45%,77.00%,76.96%,77.28%,77.71%,78.09%,77.90%,78.29%,78.08%,78.72%,79.85%,79.23%,78.97%,78.41%,78.51%,78.60%,79.02%,78.91%,78.71%,78.84%,78.81%,79.19%,80.99%,79.89%,79.42%,79.16%,79.11%,78.91%,79.16%,79.32%,79.24%,79.02%,79.54%,80.05%,80.46%,80.81%,80.00%,79.82%,79.48%,80.04%,79.75%,79.85%,79.57%,79.37%,79.38%,79.94%,80.52%,81.39%,80.09%,79.17%,79.03%,78.98%,78.93%,78.83%,78.67%,78.19%,78.15%,81.90%,92.73%,89.81%,87.46%,86.37%,86.11%,85.20%,83.03%,83.80%,83.27%,82.88%,82.15%,81.98%,83.29%,83.28%,83.15%,83.91%,84.14%,84.31%,84.25%,82.80%,83.07%,84.19%,82.70%,80.82%,81.10%,79.81%,79.18%,77.41%,74.73%,73.00%,71.03%,70.26%,68.37%,64.98%,65.01%,64.23%,65.09%,64.59%,63.38%,61.94%,61.79%,61.82%,60.47%,61.91%,62.31%,61.90%,62.29%,62.46%,63.38%,63.37%,62.41%,62.16%,62.03%,62.34%,62.29%,62.74%,62.76%,61.93%,62.35%,62.66%,64.59%,63.94%,63.98%
SA,16-64,Bulk-billed services,"320,522","333,840","370,253","368,023","389,869","380,643","385,358","390,987","390,443","370,504","365,683","328,575","333,019","377,312","377,845","400,822","425,022","394,486","371,313","428,663","400,807","382,961","401,629","340,215","353,502","371,214","416,712","360,213","452,683","401,629","392,952","442,710","410,980","399,930","406,397","334,689","370,986","381,193","402,137","391,335","466,152","398,085","412,005","437,072","391,544","417,967","411,004","334,596","372,657","385,230","406,173","394,104","492,472","393,491","425,410","428,221","410,690","416,253","394,393","342,849","369,993","386,375","447,485","517,705","502,591","490,495","510,640","485,896","472,754","441,466","444,318","400,577","398,142","426,594","469,940","429,008","492,994","479,436","484,942","555,137","556,729","522,037","517,855","415,732","430,519","437,059","449,052","373,963","455,435","431,122","399,593","426,307","375,659","347,875","362,461","288,856","281,760","301,319","331,638","275,252","358,200","312,521","295,847","329,690","299,421","287,131","301,659","245,926","276,827","298,195","281,626","296,311","338,628","279,687","317,514","319,110","300,873","308,717","299,547","254,036","280,544","291,940","299,416","291,989","333,292","303,017"
SA,65+,Bulk-billing rate,90.30%,90.45%,90.55%,92.06%,91.14%,90.67%,90.42%,90.12%,90.25%,90.54%,90.55%,90.55%,90.85%,90.61%,90.73%,92.27%,91.10%,90.66%,90.46%,90.35%,90.42%,90.30%,90.52%,90.41%,90.53%,90.37%,90.71%,92.38%,91.17%,90.71%,90.26%,90.31%,90.26%,90.15%,90.09%,90.38%,90.32%,90.11%,90.49%,91.46%,91.59%,90.58%,90.34%,90.28%,90.34%,90.22%,90.40%,90.29%,90.24%,90.03%,90.34%,91.20%,91.73%,90.24%,90.23%,89.90%,89.74%,89.84%,89.62%,89.61%,89.69%,89.47%,91.08%,96.93%,95.03%,93.65%,93.30%,93.17%,92.75%,91.37%,91.62%,91.62%,91.54%,91.09%,91.25%,93.39%,92.98%,92.72%,93.01%,92.50%,91.68%,91.11%,90.68%,91.45%,92.70%,91.38%,90.46%,92.23%,91.64%,90.31%,88.97%,87.17%,86.34%,84.63%,84.01%,83.87%,83.24%,82.65%,82.66%,85.76%,83.58%,82.45%,81.39%,80.92%,81.18%,80.26%,85.27%,85.98%,86.23%,86.17%,86.44%,88.40%,87.53%,87.03%,86.69%,86.65%,86.76%,86.43%,86.29%,86.51%,86.40%,86.45%,87.10%,89.22%,87.79%,87.52%
SA,65+,Bulk-billed services,"222,657","226,445","248,425","298,666","255,288","243,554","248,225","238,733","247,972","246,051","242,954","232,062","224,783","252,022","248,181","308,480","284,002","247,084","231,954","265,391","250,885","244,802","272,404","236,817","245,041","249,464","278,290","289,382","308,888","259,054","245,153","276,561","260,998","264,440","272,782","233,818","258,815","254,863","266,931","292,004","345,800","257,188","264,621","278,194","252,142","280,572","278,735","235,755","261,209","263,232","272,669","299,082","367,359","250,561","280,815","274,502","269,929","286,631","270,653","245,651","268,229","271,629","298,870","435,460","323,147","308,033","322,849","301,147","310,508","295,739","296,095","289,644","274,600","295,472","343,340","398,848","413,586","381,598","377,598","390,126","357,900","319,450","336,473","307,046","327,786","323,407","331,592","350,282","404,208","328,145","296,603","317,384","291,114","274,229","296,642","260,085","259,992","270,884","311,329","320,317","348,729","280,875","261,272","289,570","269,865","265,187","307,717","264,727","300,405","314,858","291,265","362,882","364,325","288,613","317,208","316,306","303,340","316,775","305,887","275,678","299,934","303,066","319,469","357,768","350,833","308,382"
TAS,0-15,Bulk-billing rate,90.39%,89.58%,90.66%,91.74%,91.19%,90.82%,90.10%,89.23%,90.06%,89.80%,90.46%,90.69%,90.69%,90.46%,90.48%,91.36%,90.94%,91.00%,89.83%,89.16%,89.55%,89.77%,89.78%,89.24%,90.15%,90.16%,89.96%,90.27%,90.96%,90.53%,89.66%,89.54%,89.65%,89.46%,89.69%,89.50%,89.71%,89.33%,89.37%,90.40%,91.93%,91.06%,91.03%,94.55%,92.72%,92.06%,90.34%,89.26%,89.58%,88.84%,89.23%,89.41%,92.05%,91.13%,89.28%,88.35%,88.26%,88.09%,88.31%,88.20%,87.23%,86.55%,88.78%,97.25%,96.72%,94.37%,92.20%,91.28%,91.31%,89.53%,89.08%,89.25%,88.91%,88.44%,89.20%,89.35%,89.83%,89.74%,88.12%,87.70%,88.58%,89.80%,88.79%,88.29%,90.87%,88.72%,89.46%,88.11%,88.63%,87.75%,85.68%,84.44%,82.99%,82.11%,81.98%,80.98%,80.66%,79.49%,79.35%,80.58%,82.62%,80.39%,79.82%,79.40%,79.12%,79.55%,82.72%,83.71%,83.69%,84.38%,84.60%,86.20%,87.30%,86.48%,85.88%,85.15%,84.79%,85.36%,84.52%,85.39%,85.49%,86.39%,85.91%,86.37%,88.39%,87.86%
TAS,0-15,Bulk-billed services,"17,701","19,550","22,722","21,526","26,131","29,186","27,844","32,453","30,162","23,439","24,034","19,299","16,941","21,845","22,384","22,076","26,926","26,441","23,375","31,175","27,181","22,207","23,769","18,552","17,289","18,825","23,091","19,156","27,338","28,198","25,507","32,654","29,586","23,747","24,505","18,705","18,513","19,172","21,736","21,457","33,464","30,806","32,624","60,258","40,063","32,880","27,584","20,574","19,110","20,160","22,653","22,579","36,914","32,245","29,564","28,397","26,178","22,103","21,499","17,458","16,729","18,649","21,025","25,426","29,300","25,177","21,292","21,627","21,252","18,180","18,705","15,439","14,674","17,966","22,943","19,468","26,413","25,947","21,904","24,033","25,158","23,321","23,044","16,907","19,116","17,978","21,618","16,199","24,274","25,105","19,407","23,041","20,368","17,061","19,073","15,063","14,532","15,648","18,725","15,886","25,378","23,747","21,144","22,860","20,071","17,104","18,291","14,590","15,228","16,183","17,007","18,796","25,131","21,944","23,511","23,827","22,462","20,502","19,638","16,695","16,804","17,556","19,616","18,503","25,881","22,483"
TAS,16-64,Bulk-billing rate,67.58%,67.12%,67.41%,69.62%,68.85%,67.35%,65.69%,65.12%,65.45%,66.62%,66.52%,67.30%,67.07%,67.59%,67.87%,69.89%,68.03%,67.23%,65.36%,65.45%,65.74%,66.60%,65.96%,66.49%,65.85%,66.76%,66.82%,67.53%,68.42%,66.63%,65.39%,65.16%,65.28%,65.75%,66.04%,65.86%,65.56%,65.72%,65.87%,67.31%,68.61%,66.46%,64.82%,66.15%,66.12%,65.73%,65.31%,65.56%,64.58%,64.47%,64.34%,65.11%,67.14%,64.84%,62.12%,61.89%,61.74%,61.78%,61.82%,62.29%,61.60%,61.78%,67.94%,89.56%,86.38%,80.65%,77.08%,75.23%,74.60%,70.34%,68.72%,69.47%,68.17%,67.39%,67.78%,69.52%,70.70%,70.20%,69.44%,71.59%,72.30%,72.17%,68.35%,69.02%,72.83%,70.28%,66.74%,66.56%,66.00%,64.67%,64.15%,62.16%,60.30%,58.43%,58.06%,59.06%,56.76%,55.98%,56.16%,57.59%,57.43%,55.86%,54.79%,54.67%,55.04%,53.51%,56.42%,58.41%,57.56%,58.17%,58.94%,59.87%,61.03%,60.00%,59.24%,59.33%,59.25%,59.37%,59.02%,60.84%,59.36%,60.17%,60.84%,62.71%,63.36%,63.57%
TAS,16-64,Bulk-billed services,"77,391","79,693","89,507","92,206","93,879","90,424","91,607","88,797","91,989","86,415","85,359","79,419","73,847","87,102","88,131","95,152","99,032","88,977","82,034","95,928","89,843","84,172","88,283","76,525","76,828","79,770","94,185","77,579","105,198","90,099","86,197","99,133","89,879","87,243","90,485","73,895","82,267","81,198","87,412","86,227","108,364","87,086","88,848","101,375","86,983","91,912","89,797","74,710","79,965","80,513","85,645","82,694","107,333","83,272","89,108","88,306","83,291","84,991","80,650","72,282","75,691","77,761","96,177","138,718","138,795","124,249","122,936","113,317","114,906","100,688","96,627","91,086","82,633","90,437","104,979","98,318","114,660","112,758","113,002","131,369","132,425","120,293","110,157","95,505","100,800","104,009","103,093","82,348","102,047","92,720","88,424","96,037","83,319","75,199","81,857","70,835","68,122","70,982","81,340","68,119","91,210","77,563","72,220","82,447","74,939","71,043","77,199","66,741","72,693","76,412","75,137","78,403","94,513","75,677","85,421","87,056","80,662","83,514","80,878","73,639","76,980","79,527","85,060","83,771","101,376","89,693"
TAS,65+,Bulk-billing rate,88.14%,87.73%,87.78%,90.48%,89.10%,88.41%,87.98%,87.72%,87.64%,88.03%,87.73%,88.35%,88.26%,87.89%,88.15%,90.16%,88.68%,88.20%,87.02%,87.63%,87.49%,87.57%,87.23%,87.73%,87.68%,87.77%,87.90%,88.64%,89.42%,88.05%,87.35%,87.44%,87.50%,87.11%,87.34%,87.51%,87.68%,87.23%,87.60%,88.66%,89.20%,87.97%,87.04%,87.32%,87.48%,87.08%,87.12%,87.19%,87.40%,86.51%,86.29%,87.52%,88.56%,87.14%,85.95%,85.76%,85.66%,85.67%,85.36%,85.56%,85.71%,85.49%,87.83%,96.56%,94.77%,92.35%,90.75%,90.44%,90.02%,88.15%,87.16%,87.95%,87.75%,86.86%,87.88%,90.66%,90.59%,89.58%,89.76%,88.81%,88.15%,87.57%,86.47%,87.63%,89.97%,87.83%,86.13%,88.51%,89.11%,86.97%,86.18%,84.57%,82.95%,81.75%,81.14%,81.85%,80.84%,80.77%,81.45%,84.94%,83.91%,81.38%,79.85%,79.65%,80.26%,79.19%,82.92%,84.87%,84.34%,83.94%,83.99%,86.42%,86.91%,85.44%,84.56%,84.35%,84.55%,84.14%,84.01%,84.76%,84.80%,84.65%,84.95%,87.11%,87.45%,86.36%
